Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Sornn-Friese H., Poulsen R.T., Nowinska A.U., de Langen P.","56135144800;57200441308;57208344544;6505780652;","What drives ports around the world to adopt air emissions abatement measures?",2021,"Transportation Research Part D: Transport and Environment","90",,"102644","","",,7,"10.1016/j.trd.2020.102644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097201483&doi=10.1016%2fj.trd.2020.102644&partnerID=40&md5=afb149835a3489f574eaf790b102571d","The reduction of Greenhouses gasses (GHG) and other air emissions represents a major challenge for ports. The world over, however, ports vary considerably in their efforts to reduce air emissions, and the causes for this variation remain under-researched. This paper examines the drivers for the adoption of air emissions abatement measures in a sample of 93 of the world's largest ports, covering all continents and mobile emitters. We test five hypotheses with a Linear Probability Model to disentangle the impacts of key port characteristics on the current adoption of abatement measures and identify three key drivers for adoption: Population density, the port landlord business model, and a specialization in servicing container shipping. We also find that ports are more likely to implement specific bundles of measures, in particular combining pricing and new energy sources. Our work has implications for ports, as we suggest that they should coordinate abatement efforts to achieve effectiveness in their work. © 2020 The Authors",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85097201483
"Habib T., Kristiansen J.N., Rana M.B., Ritala P.","57217511715;57016381000;55814389400;24778958800;","Revisiting the role of modular innovation in technological radicalness and architectural change of products: The case of Tesla X and Roomba",2020,"Technovation","98",,"102163","","",,7,"10.1016/j.technovation.2020.102163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088956749&doi=10.1016%2fj.technovation.2020.102163&partnerID=40&md5=81c5e6efe635e1b760e23d64a5753a7f","The management literature defines modular innovation as a way to make technological changes in product modules that does not necessarily change the product architecture. However, engineering science shows that new product modules not only change the product architecture, but they can also be used for technologically radical next generation products. Therefore, there seems to be a misalignment in how the role of modular innovation is seen as an innovation management phenomenon and the actual practice of product design and engineering. We revisit the role of modular innovation by combining management and engineering approaches. We demonstrate the applicability of this approach through two cases that utilize patent data of two recent technologically innovative products: Tesla's Model X and iRobot's Roomba automated vacuum cleaner. The examples show, in detail, how the changes in product modules and functions have led to broader changes at the system architecture level, leading to new functionalities. The findings contribute to the innovation management literature by identifying a more nuanced role of modular innovation by embedding it in the product architecture, thus broadening the discussion on architectural innovation and technological radicalness. © 2020 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85088956749
"Arvidsson H.G.S., Coudounaris D.N.","57219209143;35271722300;","Effectuation versus causation: A case study of an it recruitment firm",2020,"International Journal of Entrepreneurship","24","4",,"1","13",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091709482&partnerID=40&md5=1e94cdbc79479a14da38e15fa88abbcc","The purpose of this paper is to investigate the internationalisation process of an IT recruitment firm and follow the development of the firm from the idea stage to the post internationalisation stage. The study conducted deep-level interviews with the executive teams of the firm to examine the use of causation and effectuation respectively and to identify which decision-making logic was dominating, from the idea stage through to post internationalisation. The study revealed that the decision-making logic of effectuation vs causation was chosen based on the expectations and perceptions of the future, meaning that psychological factors intervened more often than the actual events unfolding. The study is based on only one case study of a firm operating as a recruiter in the IT sector and there should be caution regarding the generalisability of the findings. © 2020, Allied Business Academies. All rights reserved.",Article,"Final","",Scopus,2-s2.0-85091709482
"Hain D.S., Jurowetzki R., Buchmann T., Wolf P.","56436208900;56436805200;55824611800;57203328809;","A text-embedding-based approach to measuring patent-to-patent technological similarity",2022,"Technological Forecasting and Social Change","177",,"121559","","",,6,"10.1016/j.techfore.2022.121559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124302402&doi=10.1016%2fj.techfore.2022.121559&partnerID=40&md5=b96075a120f6812de74d7ff5e9a3d714","This paper describes an efficiently scaleable approach to measuring technological similarity between patents by combining embedding techniques from natural language processing with nearest-neighbor approximation. Using this methodology, we are able to compute similarities between all existing patents, which in turn enables us to represent the whole patent universe as a technological network. We validate both technological signature and similarity in various ways and, using the case of electric vehicle technologies, demonstrate their usefulness in measuring knowledge flows, mapping technological change, and creating patent quality indicators. This paper contributes to the growing literature on text-based indicators for patent analysis. We provide thorough documentation of our methods, including all code, and indicators at https://github.com/AI-Growth-Lab/patent_p2p_similarity_w2v). © 2022",Article,"Final","",Scopus,2-s2.0-85124302402
"Roslender R., Nielsen C.","6603377492;13005497400;","Accounting for the value expectations of customers: Re-imagining the Integrated Reporting initiative",2021,"Critical Perspectives on Accounting","81",,"102244","","",,6,"10.1016/j.cpa.2020.102244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092011809&doi=10.1016%2fj.cpa.2020.102244&partnerID=40&md5=f027efb366aff976f0af1800a6b0c207","This paper contributes to the critique of Integrated Reporting as a prelude to begin to re-imagine it as a potentially progressive development. Although it is possible to identify a number of important grounds on which to reject Integrated Reporting as an initiative of this sort, the paper pursues a further excavation of two key Integrated Reporting components, value creation and the business model, and identifies the customer and her/his value expectations as a credible basis for re-imagining Integrated Reporting in a more positive fashion. © 2020 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85092011809
"Wan Y., Gao Y., Hu Y.","57224370128;57196280682;56580618100;","Blockchain application and collaborative innovation in the manufacturing industry: Based on the perspective of social trust",2022,"Technological Forecasting and Social Change","177",,"121540","","",,5,"10.1016/j.techfore.2022.121540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123770997&doi=10.1016%2fj.techfore.2022.121540&partnerID=40&md5=93f32aaa3d4be43ac41478342ad37c69","We use Chinese A-share listed firms from the manufacturing industry during 2016–2019 to examine the impact of social trust and blockchain application on firms’ collaborative innovation. The results reveal that social trust among acquaintances and social trust among strangers have heterogeneous impacts on corporate collaborative innovation: Trust in strangers promotes firms’ collaborative innovation more than trust in acquaintances. We then analyze the external governance effects of blockchain applications, including the direct impact of blockchain applications on firms’ collaborative innovation, and the indirect impact of blockchain applications on the relationship between social trust and corporate collaborative innovation. We find that blockchain application enhances collaborative innovation and strengthens the positive impact of social trust on collaborative innovation. These results indicate that the application of blockchain technology improves the performances of firms’ collaborative innovation. It is therefore advisable for firms and governments to construct an ecosystem to facilitate the application of blockchain technologies. © 2022 Elsevier Inc.",Article,"Final","",Scopus,2-s2.0-85123770997
"Crovini C., Schaper S., Simoni L.","57200919718;6603965482;57210565438;","Dynamic accountability and the role of risk reporting during a global pandemic",2022,"Accounting, Auditing and Accountability Journal","35","1",,"169","185",,5,"10.1108/AAAJ-08-2020-4793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107837685&doi=10.1108%2fAAAJ-08-2020-4793&partnerID=40&md5=583a00e4631f923792141bb3d1d361ea","Purpose: This article lays out some conceptual considerations of how dynamic accountability and risk reporting practices could be tailored during and after a global pandemic. Design/methodology/approach: This conceptual paper seeks to foster the debate on the crucial role of risk reporting considering the impact and uncertainty caused by the coronavirus disease 2019 (COVID-19) pandemic and stakeholder information needs in this context. The authors draw upon neo-Durkheimian institutional and legitimacy theories and elements of the accounting and risk management literature to discuss the challenges that the pandemic poses to risk recognition and assessment and the subsequent disclosure decision of risk information. Findings: Risk reporting has its roots in risk recognition and assessment. To live up to their accountability in these times of uncertainty, organisations need to address their stakeholders' new and changing information needs. Ad hoc disclosures and linking risk management and reporting to their business models (BM) would improve the risk recognition and assessment practices and the meaningfulness of the disclosed information. Hence, we provide some examples and discuss potential avenues to address these challenges and adapt risk reporting accordingly. Originality/value: This conceptual paper contributes to the risk reporting and accountability research fields. Previous studies on communication during a crisis have focused on sustainability reporting. Thus, this study contributes to that literature by considering the role of risk reporting in times of an unexpected large-scale global crisis, such as the COVID-19 pandemic, and by highlighting possibilities for moving risk reporting towards becoming more accountability based. © 2021, Emerald Publishing Limited.",Article,"Final","",Scopus,2-s2.0-85107837685
"Mohsin A.K.M., Far Abid Hossain S., Tushar H., Iqbal M.M., Hossain A.","57219869049;57373484300;57218452893;57204546463;57613646200;","Differential game model and coordination model for green supply chain based on green technology research and development",2021,"Heliyon","7","8","e07811","","",,5,"10.1016/j.heliyon.2021.e07811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118573977&doi=10.1016%2fj.heliyon.2021.e07811&partnerID=40&md5=ce10cfa583d02c1eaaca91c60f85174d","The purpose of this paper is to establish a green supply chain differential game model for green technology research and development based on a secondary green supply chain composed of a single manufacturer and a single retailer. It compares the differential game equilibrium solutions under centralized and decentralized decision-making. The green supply chain members are coordinated through the dynamic wholesale price mechanism, and numerical simulation is used as a methodology, to verify and explain the results. The study found that compared to decentralized decision-making, the level of green technology and the total profit of green channels are higher under centralized decision-making. When the coordination parameters are within a certain range, the dynamic wholesale price mechanism can coordinate the behavior of manufacturers and retailers. The result also discovers that under the dynamic wholesale price mechanism, with the increase of investment cost coefficient, or the increase of price sensitivity or the decrease of consumer's environmental awareness, the green technology level, product green degree, price, retailer's profit, and the total profit of green channel is decreased. In contrast, the wholesale price and manufacturer's profits are increased. © 2021 The Author(s)",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118573977
"Hu Y., Tian K., Wu T., Yang C.","56580618100;57190942790;57224359096;55761406500;","The Lose-Lose Consequence: Assessing US-China Trade Decoupling through the Lens of Global Value Chains",2021,"Management and Organization Review","17","2",,"429","446",,5,"10.1017/mor.2021.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107405011&doi=10.1017%2fmor.2021.19&partnerID=40&md5=dffc09c11331d25cc59e46eeb7c931e5",[No abstract available],Review,"Final","",Scopus,2-s2.0-85107405011
"Nielsen P., Holm J.R., Lorenz E.","35225321700;36237453800;7101681398;","Work policy and automation in the fourth industrial revolution",2021,"Globalisation, New and Emerging Technologies, and Sustainable Development: The Danish Innovation System in Transition",,,,"189","207",,4,"10.4324/9781003037750-14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104749455&doi=10.4324%2f9781003037750-14&partnerID=40&md5=67146eed523133e7803a1685bbd49009","In this chapter we focus on the challenges faced by labour market policy from technological change, including the demands made on the skills of the labour force, in relation to automation in the fourth industrial revolution. We document recent changes in the Danish labour market, and we argue that labour market policy needs to be for the employed as well as the unemployed, the latter are the traditional target of labour market policy. We highlight this policy need by referring instead to ‘work policy’, and we focus on how such policy can future-proof the competence development of the workforce. © Designs and Patents Act 1988.",Book Chapter,"Final","",Scopus,2-s2.0-85104749455
"Andersen P.H., Ellegaard C., Kragh H.","35271298800;13403240500;26867928700;","How purchasing departments facilitate organizational ambidexterity",2021,"Production Planning and Control","32","16",,"1384","1399",,4,"10.1080/09537287.2020.1818326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090447349&doi=10.1080%2f09537287.2020.1818326&partnerID=40&md5=2764c7f8fc42fd1dc1614fe301bdc2e5","Companies must pursue both exploration and exploitation of supplier’s knowledge in increasingly competitive and complex production environments. This has been referred to as pursuing an ambidextrous supply strategy, extending the mobilisation of resources in pursuit of both aims beyond the borders of the lead manufacturer and into supplier organizations as well. Purchasing and supply management plays an increasingly central role in mobilizing and involving the suppliers in the pursuit of this agenda. The purpose of this paper is to contribute to the literature on organizational ambidexterity and operations management by exploring how purchasing departments contribute to the organizational pursuit of organizational ambidexterity. We explore practices followed by purchasing departments for mediating tensions between supply networks and organizational functions. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85090447349
"Henriksen M.","57219976259;","Variational Free Energy and Economics Optimizing With Biases and Bounded Rationality",2020,"Frontiers in Psychology","11",,"549187","","",,4,"10.3389/fpsyg.2020.549187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096384216&doi=10.3389%2ffpsyg.2020.549187&partnerID=40&md5=e7ed842f7e869312ff57a6210f33a463","The purpose of this paper is to offer a new framework for understanding action, optimization, and choice when applied to economic theory more generally. By drawing upon the concept known as the variational free energy principle, the paper will explore how this principle can be used to temper rational choice theory by re-formulating how agents optimize. The approach will result in agent behavior that encompasses a wide range of so-called cognitive biases, as seen in the scientific literature of behavioral economics, but instead of using these biases as further indications of market inefficiencies or market failures, the paper will likewise attempt to show the limits to which these biases can inform or critique standard economic theory. The paper therefore offers up a “middle of the road” approach, in which the neoclassical agent is not quite as “rational” as rational choice theory assumes, but at the same time, not quite as irrational as behavioral economics would often have us believe. © Copyright © 2020 Henriksen.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85096384216
"Brøns Kringelum L., Brix J.","57204126464;55329326500;","Critical realism and organizational learning",2020,"Learning Organization","28","1",,"32","45",,4,"10.1108/TLO-03-2020-0035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098526945&doi=10.1108%2fTLO-03-2020-0035&partnerID=40&md5=002f587d325d2301cfdc7bdf1b3b6868","Purpose: This study aims to investigate the implications of applying critical realism to the study of organizational learning. It considers critical realism as an alternate theoretical science foundation to the domains of empirical realism and social constructivism that characterize most of the field of organizational learning. Design/methodology/approach: This study adopts the approach of a philosophical/conceptual discussion. Findings: This study finds that the critical realist approach makes it possible for organizational learning researchers to apply a prescriptive change agenda. It requires researchers to study the context in which organizational learning occurs. These two features enable the researcher to propose what the world must be like for organizational learning to occur. Hence, a critical realist foundation moves organizational learning theory a step closer to its theoretical sibling, the learning organization. Originality/value: This study reveals the potential in applying critical realism to the study of organizational learning and identifies its related strengths. © 2020, Louise Brøns Kringelum and Jacob Brix.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85098526945
